playlist_genre,average_loudness,average_speechiness,average_acousticness,average_instrumentalness,average_liveness,average_valence,average_tempo,average_duration(minutes)
edm,-5.488183505154638,0.08088144329896908,0.09332334536082475,0.17158914129896907,0.1880078350515464,0.40813587628865977,123.91147216494845,3.7629178350515464
latin,-6.054217721518988,0.09626582278481012,0.17992871974683544,0.05190392382278481,0.1780635443037975,0.5673425316455696,117.82502531645568,3.5283496624472575
pop,-6.0972301587301585,0.07663412698412697,0.18925071833333335,0.04995899738095238,0.1709855158730159,0.4920117063492064,118.33397023809523,3.587487466931217
r&b,-7.674685344827586,0.14475387931034484,0.30578522629310345,0.036085273297413796,0.16823340517241378,0.441276724137931,115.15019827586208,3.7233838721264365
rap,-6.70065367965368,0.21891038961038958,0.20442996536796537,0.05250573311688311,0.1846255411255411,0.42472034632034633,123.8513095238095,3.442068434343434
rock,-7.042249999999999,0.06494655172413792,0.17418050905172414,0.11789315258620689,0.20131551724137933,0.42519396551724137,129.68099137931034,4.213990086206897
